Server
sofqa1central
sofqa1live
sofqa1demo
sofqa2central
sofqa2central2
sofqa2live
sofqa2live2
sofqa2demo
sofdev1central
sofdev1live
sofdev1demo
sofdev2central
sofdev2live
sofdev2demo
sofdev3central
sofdev3live
sofdev3demo
sofdevcentral
sofdevlive
sofdevdemo
